"","d","theta","rho","offsets","logsdcounty","logsdyears","gridlikelihood2"
"163",35,1.75,0.5,0.01,-1,-4,1452.77417753187
"164",60,1.75,0.5,0.01,-1,-4,1452.77417753187
"165",85,1.75,0.5,0.01,-1,-4,1452.77417753187
"166",110,1.75,0.5,0.01,-1,-4,1452.77417753187
"167",135,1.75,0.5,0.01,-1,-4,1452.77417753187
"168",160,1.75,0.5,0.01,-1,-4,1452.77417753187
"169",10,2,0.5,0.01,-1,-4,1452.77417753187
"170",35,2,0.5,0.01,-1,-4,1452.77417753187
"171",60,2,0.5,0.01,-1,-4,1452.77417753187
"172",85,2,0.5,0.01,-1,-4,1452.77417753187
"173",110,2,0.5,0.01,-1,-4,1452.77417753187
"174",135,2,0.5,0.01,-1,-4,1452.77417753187
"175",160,2,0.5,0.01,-1,-4,1452.77417753187
"176",10,2.25,0.5,0.01,-1,-4,1452.77417753187
"177",35,2.25,0.5,0.01,-1,-4,1452.77417753187
"178",60,2.25,0.5,0.01,-1,-4,1452.77417753187
"179",85,2.25,0.5,0.01,-1,-4,1452.77417753187
"180",110,2.25,0.5,0.01,-1,-4,1452.77417753187
"181",135,2.25,0.5,0.01,-1,-4,1452.77417753187
"182",160,2.25,0.5,0.01,-1,-4,1452.77417753187
"183",10,2.5,0.5,0.01,-1,-4,1452.77417753187
"184",35,2.5,0.5,0.01,-1,-4,1452.77417753187
"185",60,2.5,0.5,0.01,-1,-4,1452.77417753187
"186",85,2.5,0.5,0.01,-1,-4,1452.77417753187
"187",110,2.5,0.5,0.01,-1,-4,1452.77417753187
"188",135,2.5,0.5,0.01,-1,-4,1452.77417753187
"189",160,2.5,0.5,0.01,-1,-4,1452.77417753187
"190",10,0.5,0.75,0.01,-1,-4,1451.24937258519
"191",35,0.5,0.75,0.01,-1,-4,1451.25036223693
"192",60,0.5,0.75,0.01,-1,-4,1451.2503622406
"193",85,0.5,0.75,0.01,-1,-4,1451.2503622406
"194",110,0.5,0.75,0.01,-1,-4,1451.2503622406
"195",135,0.5,0.75,0.01,-1,-4,1451.2503622406
"196",160,0.5,0.75,0.01,-1,-4,1451.2503622406
"197",10,0.75,0.75,0.01,-1,-4,1451.25033825312
"198",35,0.75,0.75,0.01,-1,-4,1451.2503622406
"199",60,0.75,0.75,0.01,-1,-4,1451.2503622406
"200",85,0.75,0.75,0.01,-1,-4,1451.2503622406
"201",110,0.75,0.75,0.01,-1,-4,1451.2503622406
"202",135,0.75,0.75,0.01,-1,-4,1451.2503622406
"203",160,0.75,0.75,0.01,-1,-4,1451.2503622406
"204",10,1,0.75,0.01,-1,-4,1451.25036171346
"205",35,1,0.75,0.01,-1,-4,1451.2503622406
"206",60,1,0.75,0.01,-1,-4,1451.2503622406
"207",85,1,0.75,0.01,-1,-4,1451.2503622406
"208",110,1,0.75,0.01,-1,-4,1451.2503622406
"209",135,1,0.75,0.01,-1,-4,1451.2503622406
"210",160,1,0.75,0.01,-1,-4,1451.2503622406
"211",10,1.25,0.75,0.01,-1,-4,1451.25036222955
"212",35,1.25,0.75,0.01,-1,-4,1451.2503622406
"213",60,1.25,0.75,0.01,-1,-4,1451.2503622406
"214",85,1.25,0.75,0.01,-1,-4,1451.2503622406
"215",110,1.25,0.75,0.01,-1,-4,1451.2503622406
"216",135,1.25,0.75,0.01,-1,-4,1451.2503622406
"217",160,1.25,0.75,0.01,-1,-4,1451.2503622406
"218",10,1.5,0.75,0.01,-1,-4,1451.25036224038
"219",35,1.5,0.75,0.01,-1,-4,1451.2503622406
"220",60,1.5,0.75,0.01,-1,-4,1451.2503622406
"221",85,1.5,0.75,0.01,-1,-4,1451.2503622406
"222",110,1.5,0.75,0.01,-1,-4,1451.2503622406
"223",135,1.5,0.75,0.01,-1,-4,1451.2503622406
"224",160,1.5,0.75,0.01,-1,-4,1451.2503622406
"225",10,1.75,0.75,0.01,-1,-4,1451.2503622406
"226",35,1.75,0.75,0.01,-1,-4,1451.2503622406
"227",60,1.75,0.75,0.01,-1,-4,1451.2503622406
"228",85,1.75,0.75,0.01,-1,-4,1451.2503622406
"229",110,1.75,0.75,0.01,-1,-4,1451.2503622406
"230",135,1.75,0.75,0.01,-1,-4,1451.2503622406
"231",160,1.75,0.75,0.01,-1,-4,1451.2503622406
"232",10,2,0.75,0.01,-1,-4,1451.2503622406
"233",35,2,0.75,0.01,-1,-4,1451.2503622406
"234",60,2,0.75,0.01,-1,-4,1451.2503622406
"235",85,2,0.75,0.01,-1,-4,1451.2503622406
"236",110,2,0.75,0.01,-1,-4,1451.2503622406
"237",135,2,0.75,0.01,-1,-4,1451.2503622406
"238",160,2,0.75,0.01,-1,-4,1451.2503622406
"239",10,2.25,0.75,0.01,-1,-4,1451.2503622406
"240",35,2.25,0.75,0.01,-1,-4,1451.2503622406
"241",60,2.25,0.75,0.01,-1,-4,1451.2503622406
"242",85,2.25,0.75,0.01,-1,-4,1451.2503622406
"243",110,2.25,0.75,0.01,-1,-4,1451.2503622406
"244",135,2.25,0.75,0.01,-1,-4,1451.2503622406
"245",160,2.25,0.75,0.01,-1,-4,1451.2503622406
"246",10,2.5,0.75,0.01,-1,-4,1451.2503622406
"247",35,2.5,0.75,0.01,-1,-4,1451.2503622406
"248",60,2.5,0.75,0.01,-1,-4,1451.2503622406
"249",85,2.5,0.75,0.01,-1,-4,1451.2503622406
"250",110,2.5,0.75,0.01,-1,-4,1451.2503622406
"251",135,2.5,0.75,0.01,-1,-4,1451.2503622406
"252",160,2.5,0.75,0.01,-1,-4,1451.2503622406
"253",10,0.5,1,0.01,-1,-4,1449.87255908562
"254",35,0.5,1,0.01,-1,-4,1449.87339918116
"255",60,0.5,1,0.01,-1,-4,1449.87339918428
"256",85,0.5,1,0.01,-1,-4,1449.87339918428
"257",110,0.5,1,0.01,-1,-4,1449.87339918428
"258",135,0.5,1,0.01,-1,-4,1449.87339918428
"259",160,0.5,1,0.01,-1,-4,1449.87339918428
"260",10,0.75,1,0.01,-1,-4,1449.87337881798
"261",35,0.75,1,0.01,-1,-4,1449.87339918428
"262",60,0.75,1,0.01,-1,-4,1449.87339918428
"263",85,0.75,1,0.01,-1,-4,1449.87339918428
"264",110,0.75,1,0.01,-1,-4,1449.87339918428
"265",135,0.75,1,0.01,-1,-4,1449.87339918428
"266",160,0.75,1,0.01,-1,-4,1449.87339918428
"267",10,1,1,0.01,-1,-4,1449.87339873664
"268",35,1,1,0.01,-1,-4,1449.87339918428
"269",60,1,1,0.01,-1,-4,1449.87339918428
"270",85,1,1,0.01,-1,-4,1449.87339918428
"271",110,1,1,0.01,-1,-4,1449.87339918428
"272",135,1,1,0.01,-1,-4,1449.87339918428
"273",160,1,1,0.01,-1,-4,1449.87339918428
"274",10,1.25,1,0.01,-1,-4,1449.8733991749
"275",35,1.25,1,0.01,-1,-4,1449.87339918428
"276",60,1.25,1,0.01,-1,-4,1449.87339918428
"277",85,1.25,1,0.01,-1,-4,1449.87339918428
"278",110,1.25,1,0.01,-1,-4,1449.87339918428
"279",135,1.25,1,0.01,-1,-4,1449.87339918428
"280",160,1.25,1,0.01,-1,-4,1449.87339918428
"281",10,1.5,1,0.01,-1,-4,1449.87339918409
"282",35,1.5,1,0.01,-1,-4,1449.87339918428
"283",60,1.5,1,0.01,-1,-4,1449.87339918428
"284",85,1.5,1,0.01,-1,-4,1449.87339918428
"285",110,1.5,1,0.01,-1,-4,1449.87339918428
"286",135,1.5,1,0.01,-1,-4,1449.87339918428
"287",160,1.5,1,0.01,-1,-4,1449.87339918428
"288",10,1.75,1,0.01,-1,-4,1449.87339918427
"289",35,1.75,1,0.01,-1,-4,1449.87339918428
"290",60,1.75,1,0.01,-1,-4,1449.87339918428
"291",85,1.75,1,0.01,-1,-4,1449.87339918428
"292",110,1.75,1,0.01,-1,-4,1449.87339918428
"293",135,1.75,1,0.01,-1,-4,1449.87339918428
"294",160,1.75,1,0.01,-1,-4,1449.87339918428
"295",10,2,1,0.01,-1,-4,1449.87339918428
"296",35,2,1,0.01,-1,-4,1449.87339918428
"297",60,2,1,0.01,-1,-4,1449.87339918428
"298",85,2,1,0.01,-1,-4,1449.87339918428
"299",110,2,1,0.01,-1,-4,1449.87339918428
"300",135,2,1,0.01,-1,-4,1449.87339918428
"301",160,2,1,0.01,-1,-4,1449.87339918428
"302",10,2.25,1,0.01,-1,-4,1449.87339918428
"303",35,2.25,1,0.01,-1,-4,1449.87339918428
"304",60,2.25,1,0.01,-1,-4,1449.87339918428
"305",85,2.25,1,0.01,-1,-4,1449.87339918428
"306",110,2.25,1,0.01,-1,-4,1449.87339918428
"307",135,2.25,1,0.01,-1,-4,1449.87339918428
"308",160,2.25,1,0.01,-1,-4,1449.87339918428
"309",10,2.5,1,0.01,-1,-4,1449.87339918428
"310",35,2.5,1,0.01,-1,-4,1449.87339918428
"311",60,2.5,1,0.01,-1,-4,1449.87339918428
"312",85,2.5,1,0.01,-1,-4,1449.87339918428
"313",110,2.5,1,0.01,-1,-4,1449.87339918428
"314",135,2.5,1,0.01,-1,-4,1449.87339918428
"315",160,2.5,1,0.01,-1,-4,1449.87339918428
"316",10,0.5,0,1.01,-1,-4,1602.63186656119
"317",35,0.5,0,1.01,-1,-4,1602.63251369734
"318",60,0.5,0,1.01,-1,-4,1602.63251369973
"319",85,0.5,0,1.01,-1,-4,1602.63251369973
"320",110,0.5,0,1.01,-1,-4,1602.63251369973
"321",135,0.5,0,1.01,-1,-4,1602.63251369973
"322",160,0.5,0,1.01,-1,-4,1602.63251369973
"323",10,0.75,0,1.01,-1,-4,1602.63249803166
"324",35,0.75,0,1.01,-1,-4,1602.63251369973
"325",60,0.75,0,1.01,-1,-4,1602.63251369973
"326",85,0.75,0,1.01,-1,-4,1602.63251369973
"327",110,0.75,0,1.01,-1,-4,1602.63251369973
"328",135,0.75,0,1.01,-1,-4,1602.63251369973
"329",160,0.75,0,1.01,-1,-4,1602.63251369973
"330",10,1,0,1.01,-1,-4,1602.63251335569
"331",35,1,0,1.01,-1,-4,1602.63251369973
"332",60,1,0,1.01,-1,-4,1602.63251369973
"333",85,1,0,1.01,-1,-4,1602.63251369973
"334",110,1,0,1.01,-1,-4,1602.63251369973
"335",135,1,0,1.01,-1,-4,1602.63251369973
"336",160,1,0,1.01,-1,-4,1602.63251369973
"337",10,1.25,0,1.01,-1,-4,1602.63251369254
"338",35,1.25,0,1.01,-1,-4,1602.63251369973
"339",60,1.25,0,1.01,-1,-4,1602.63251369973
"340",85,1.25,0,1.01,-1,-4,1602.63251369973
"341",110,1.25,0,1.01,-1,-4,1602.63251369973
"342",135,1.25,0,1.01,-1,-4,1602.63251369973
"343",160,1.25,0,1.01,-1,-4,1602.63251369973
"344",10,1.5,0,1.01,-1,-4,1602.63251369959
"345",35,1.5,0,1.01,-1,-4,1602.63251369973
"346",60,1.5,0,1.01,-1,-4,1602.63251369973
"347",85,1.5,0,1.01,-1,-4,1602.63251369973
"348",110,1.5,0,1.01,-1,-4,1602.63251369973
"349",135,1.5,0,1.01,-1,-4,1602.63251369973
"350",160,1.5,0,1.01,-1,-4,1602.63251369973
"351",10,1.75,0,1.01,-1,-4,1602.63251369972
"352",35,1.75,0,1.01,-1,-4,1602.63251369973
"353",60,1.75,0,1.01,-1,-4,1602.63251369973
"354",85,1.75,0,1.01,-1,-4,1602.63251369973
"355",110,1.75,0,1.01,-1,-4,1602.63251369973
"356",135,1.75,0,1.01,-1,-4,1602.63251369973
"357",160,1.75,0,1.01,-1,-4,1602.63251369973
"358",10,2,0,1.01,-1,-4,1602.63251369973
"359",35,2,0,1.01,-1,-4,1602.63251369973
"360",60,2,0,1.01,-1,-4,1602.63251369973
"361",85,2,0,1.01,-1,-4,1602.63251369973
"362",110,2,0,1.01,-1,-4,1602.63251369973
"363",135,2,0,1.01,-1,-4,1602.63251369973
"364",160,2,0,1.01,-1,-4,1602.63251369973
"365",10,2.25,0,1.01,-1,-4,1602.63251369973
"366",35,2.25,0,1.01,-1,-4,1602.63251369973
"367",60,2.25,0,1.01,-1,-4,1602.63251369973
"368",85,2.25,0,1.01,-1,-4,1602.63251369973
"369",110,2.25,0,1.01,-1,-4,1602.63251369973
"370",135,2.25,0,1.01,-1,-4,1602.63251369973
"371",160,2.25,0,1.01,-1,-4,1602.63251369973
"372",10,2.5,0,1.01,-1,-4,1602.63251369973
"373",35,2.5,0,1.01,-1,-4,1602.63251369973
"374",60,2.5,0,1.01,-1,-4,1602.63251369973
"375",85,2.5,0,1.01,-1,-4,1602.63251369973
"376",110,2.5,0,1.01,-1,-4,1602.63251369973
"377",135,2.5,0,1.01,-1,-4,1602.63251369973
"378",160,2.5,0,1.01,-1,-4,1602.63251369973
"379",10,0.5,0.25,1.01,-1,-4,1601.36351248585
"380",35,0.5,0.25,1.01,-1,-4,1601.36408271361
"381",60,0.5,0.25,1.01,-1,-4,1601.36408271575
"382",85,0.5,0.25,1.01,-1,-4,1601.36408271575
"383",110,0.5,0.25,1.01,-1,-4,1601.36408271575
"384",135,0.5,0.25,1.01,-1,-4,1601.36408271575
"385",160,0.5,0.25,1.01,-1,-4,1601.36408271575
"386",10,0.75,0.25,1.01,-1,-4,1601.36406890877
"387",35,0.75,0.25,1.01,-1,-4,1601.36408271575
"388",60,0.75,0.25,1.01,-1,-4,1601.36408271575
"389",85,0.75,0.25,1.01,-1,-4,1601.36408271575
"390",110,0.75,0.25,1.01,-1,-4,1601.36408271575
"391",135,0.75,0.25,1.01,-1,-4,1601.36408271575
"392",160,0.75,0.25,1.01,-1,-4,1601.36408271575
"393",10,1,0.25,1.01,-1,-4,1601.36408241254
"394",35,1,0.25,1.01,-1,-4,1601.36408271575
"395",60,1,0.25,1.01,-1,-4,1601.36408271575
"396",85,1,0.25,1.01,-1,-4,1601.36408271575
"397",110,1,0.25,1.01,-1,-4,1601.36408271575
"398",135,1,0.25,1.01,-1,-4,1601.36408271575
"399",160,1,0.25,1.01,-1,-4,1601.36408271575
"400",10,1.25,0.25,1.01,-1,-4,1601.36408270939
"401",35,1.25,0.25,1.01,-1,-4,1601.36408271575
"402",60,1.25,0.25,1.01,-1,-4,1601.36408271575
"403",85,1.25,0.25,1.01,-1,-4,1601.36408271575
"404",110,1.25,0.25,1.01,-1,-4,1601.36408271575
"405",135,1.25,0.25,1.01,-1,-4,1601.36408271575
"406",160,1.25,0.25,1.01,-1,-4,1601.36408271575
"407",10,1.5,0.25,1.01,-1,-4,1601.36408271559
"408",35,1.5,0.25,1.01,-1,-4,1601.36408271575
"409",60,1.5,0.25,1.01,-1,-4,1601.36408271575
"410",85,1.5,0.25,1.01,-1,-4,1601.36408271575
"411",110,1.5,0.25,1.01,-1,-4,1601.36408271575
"412",135,1.5,0.25,1.01,-1,-4,1601.36408271575
"413",160,1.5,0.25,1.01,-1,-4,1601.36408271575
"414",10,1.75,0.25,1.01,-1,-4,1601.36408271574
"415",35,1.75,0.25,1.01,-1,-4,1601.36408271575
"416",60,1.75,0.25,1.01,-1,-4,1601.36408271575
"417",85,1.75,0.25,1.01,-1,-4,1601.36408271575
"418",110,1.75,0.25,1.01,-1,-4,1601.36408271575
"419",135,1.75,0.25,1.01,-1,-4,1601.36408271575
"420",160,1.75,0.25,1.01,-1,-4,1601.36408271575
"421",10,2,0.25,1.01,-1,-4,1601.36408271575
"422",35,2,0.25,1.01,-1,-4,1601.36408271575
"423",60,2,0.25,1.01,-1,-4,1601.36408271575
"424",85,2,0.25,1.01,-1,-4,1601.36408271575
"425",110,2,0.25,1.01,-1,-4,1601.36408271575
"426",135,2,0.25,1.01,-1,-4,1601.36408271575
"427",160,2,0.25,1.01,-1,-4,1601.36408271575
"428",10,2.25,0.25,1.01,-1,-4,1601.36408271575
"429",35,2.25,0.25,1.01,-1,-4,1601.36408271575
"430",60,2.25,0.25,1.01,-1,-4,1601.36408271575
"431",85,2.25,0.25,1.01,-1,-4,1601.36408271575
"432",110,2.25,0.25,1.01,-1,-4,1601.36408271575
"433",135,2.25,0.25,1.01,-1,-4,1601.36408271575
"434",160,2.25,0.25,1.01,-1,-4,1601.36408271575
"435",10,2.5,0.25,1.01,-1,-4,1601.36408271575
"436",35,2.5,0.25,1.01,-1,-4,1601.36408271575
"437",60,2.5,0.25,1.01,-1,-4,1601.36408271575
"438",85,2.5,0.25,1.01,-1,-4,1601.36408271575
"439",110,2.5,0.25,1.01,-1,-4,1601.36408271575
"440",135,2.5,0.25,1.01,-1,-4,1601.36408271575
"441",160,2.5,0.25,1.01,-1,-4,1601.36408271575
"442",10,0.5,0.5,1.01,-1,-4,1600.12989895567
"443",35,0.5,0.5,1.01,-1,-4,1600.13039370066
"444",60,0.5,0.5,1.01,-1,-4,1600.13039370249
"445",85,0.5,0.5,1.01,-1,-4,1600.13039370249
"446",110,0.5,0.5,1.01,-1,-4,1600.13039370249
"447",135,0.5,0.5,1.01,-1,-4,1600.13039370249
"448",160,0.5,0.5,1.01,-1,-4,1600.13039370249
"449",10,0.75,0.5,1.01,-1,-4,1600.13038172236
"450",35,0.75,0.5,1.01,-1,-4,1600.13039370249
"451",60,0.75,0.5,1.01,-1,-4,1600.13039370249
"452",85,0.75,0.5,1.01,-1,-4,1600.13039370249
"453",110,0.75,0.5,1.01,-1,-4,1600.13039370249
"454",135,0.75,0.5,1.01,-1,-4,1600.13039370249
"455",160,0.75,0.5,1.01,-1,-4,1600.13039370249
"456",10,1,0.5,1.01,-1,-4,1600.13039343939
"457",35,1,0.5,1.01,-1,-4,1600.13039370249
"458",60,1,0.5,1.01,-1,-4,1600.13039370249
"459",85,1,0.5,1.01,-1,-4,1600.13039370249
"460",110,1,0.5,1.01,-1,-4,1600.13039370249
"461",135,1,0.5,1.01,-1,-4,1600.13039370249
"462",160,1,0.5,1.01,-1,-4,1600.13039370249
"463",10,1.25,0.5,1.01,-1,-4,1600.13039369699
"464",35,1.25,0.5,1.01,-1,-4,1600.13039370249
"465",60,1.25,0.5,1.01,-1,-4,1600.13039370249
"466",85,1.25,0.5,1.01,-1,-4,1600.13039370249
"467",110,1.25,0.5,1.01,-1,-4,1600.13039370249
"468",135,1.25,0.5,1.01,-1,-4,1600.13039370249
